comment,code,non-information
returns true if there is external file type registered for extension,public boolean is external file type by ext string extension,no
unknown can not un abbreviate anything,return false,yes
vim set shiftwidth softtabstop expandtab,,no
redo change,try,no
we need to get tab header following is ugly workaround,node tab header area tab pane skin this tabbed pane get skin,no
reset fields,for text field field text fields values,yes
similar to @link org fxmisc easybind monadic monadic observable value,public class optional object property extends simple object property optional,no
,public static void show context menu text field text field context menu context menu context menu event,no
css clipboard arrow left,export to clipboard material design icon clipboard arrow left,yes
todo replace by,public class jab ref desktop,no
executes callable task provides return value after calculation is done @param command task to execute future object provides returning value,public future execute callable command,yes
need to run on java fx thread,jab ref gui get main frame add parser result pr focus panel,no
set original filename again,tabbed pane get tabs get set text get base panel at get tab title,no
if required check that entries have bib te keys defined,if application requires bibtex keys,no
check if value returned by get column value is same as simple check of entry field would give reasons for being different are combinations may also happen entry has crossref where field content is obtained from field has string in it get column value resolves there are alias fields for example if entry has date field but year field bib entry get resolved field or alias string bib database will return year value from date field when queried for year,public boolean is resolved bib entry entry,no
imlement default,,no
use default key bindings,for key binding key binding key binding values,yes
store shown columns and width in preferences,private void update column preferences,no
todo add undo final undoable add or remove group undo new undoable add or remove group groups root node undoable add or remove group remove node keep children panel get undo manager add edit undo,group tree node group node group get group node,no
read saved file paths and read abbreviations,public void create file objects,no
on linux java fx fonts look blurry per default can be improved by using non default rendering setting see,if globals prefs get boolean jab ref preferences fx font rendering tweak,no
runs specified runnable on java fx application thread and waits for completion,public static void run and wait in java fx thread runnable action,yes
jab ref main class,public class jab ref main extends application,yes
bootstraps component context from uno installation,public static final component context arg array url class loader loader throws bootstrap exception,no
if globals prefs is keyword sync enabled return final bib entry entry event get bib entry named compount code similar to special field update listener named compound nc new named compound localization lang synchronized special fields based on keywords list field change changes special fields utils sync special fields from keywords entry globals prefs get keyword delimiter for field change change changes nc add edit new undoable field change change do not insert compound into undo manager it would be added before component undoes insertion of entry and creates heavy problems prohibits undo deleting multiple entries,,no
get target folder,optional path file dir database context get first existing file dir file preferences,no
ctrl on windows no modifier on xubuntu,copy,no
default command,string cmd xdg open file path to absolute path get parent to string,no
reloads jab ref preferences into ui,private void update after preference changes,no
we define two file type objects as equal if name extension open with and icon name are equal,@override,no
create buttons,button type replace entries new button type localization lang merge entries button bar button data ok done,yes
time stamp,,no
class can be used to wrap @see observable list inside it when wrapped listener listening for updates to wrapped observable list for example because of binding to it is ensured to be notified on java fx application thread it should be used to implement bindings where updates come in from background thread but should be reflected in ui where it is necessary that changes to ui are performed on java fx application thread,public class ui thread observable list implements observable list,no
executes collection of callable tasks and returns list of resulting future objects after calculation is done @param tasks tasks to execute @return list of future objects provide returning values,public list future execute all collection callable tasks,yes
will set @code current file property to @link abbreviations file view model object was added to @code journal files list property lastly if there are files in list property methode will do nothing as @code current file property is already @code null,public void select last journal file,no
method to delete abbreviation set in current abbreviation property current abbreviation property will be set to previous or next abbreviation in abbreviations property if applicable else it will be set to @code null if there are abbreviations left,public void delete abbreviation,no
we need to sort reference marks according to order of appearance,names sorted reference marks,no
returns wrapper around given list posts changes on java fx thread,public static observable list for ui observable list list,no
kill remote thread,stop remote thread,yes
first try xmp import if empty try pdf import otherwise create empty entry,if xmp entries in file is empty,no
revert change,base remove string string get id,no
go through unchanged types remove them from ones should be stored and from list of defaults since we do not need to mention in prefs,for external file type type unchanged,no
checks if tabs are valid to do after conversion of tabs use mvvmfx validator to do should be observable for binding of ok button in view,,no
next add visible tabs if not already present at right position,for int visible tabs size i++,no
update tab titles,update all tab titles,yes
helper class to create and style controls according to @link action,public class action factory,no
class for fetching and merging bibliographic information,public class fetch and merge entry,yes
paranoia ensure that there are never two instances of all entries group,if new groups get group instanceof all entries group,no
create button triggers search,button search new button localization lang search,yes
activate context menu if user presses context menu key,table view add event handler key event key released event,no
,public static run in java fx thread callable callable,yes
add edit field for bibtex key,fields add internal field key field,no
remove reference marks do not look like jab ref citations,list string tmp new array list,no
although entries are redefined without use also updates link source base,map bib entry bib database entries find cited entries databases cited link source base,no
for remaining entries intersection has to be used approach ensures that one empty keyword list leads to empty set of common keywords,for bib entry entry entries,no
very simple implementation of @link task executor interface submitted task is invoked in separate thread,public class default task executor implements task executor,no
buttons in base dialogs react on enter,if event get code key code enter,no
but not for entry,ref keys get marker add current key,no
if we found it remove it from type list,if to remove null,yes
main window of application,public class jab ref frame extends border pane,no
redo change,try,no
tools for automatically detecting open office or libre office installations,public class detect open office installation,no
heuristic missed so try to get page number from first shown page,current page set,no
assuming current page is a4 or has same aspect ratio,set page width desired page dimension get width math sqrt delta,no
check if there are two entries selected,list bib entry selected entries base panel get selected entries,yes
class controls user interface of journal abbreviations dialog ui elements and layout are defined in fxml file,public class manage journal abbreviations view extends base dialog void,no
only add tab if db is not already open,optional base panel panel get base panel list stream,no
class represents change of type for entry,public class undoable change type extends,no
general,,no
sets title of main window,public void set window title,no
check mode of currently used db,if panel null,no
parent root just add,this move to target,no
write entries using sw is used later to form email content,bib entry writer bibtex entry writer new bib entry writer,no
opens given files if one of it is null or 404 nothing happens,public void path files to open boolean raise panel,no
ask for consent to send data to mr lib on first time to tab,if preferences is mrdlib accepted,no
only first of extensions gotten from file type is saved into class using get,string extension string exporter get file type get extensions get,no
path to edited subtree root node,private final list integer path to node,no
up to version 4b mime type is not included,mime type,no
application insights java copyright microsoft corporation rights reserved mit license permission is hereby granted free of charge to person obtaining copy of software and associated documentation files software to deal in software without restriction including without limitation rights to use copy modify merge publish distribute sublicense and or sell copies of software and to permit persons to whom software is furnished to do so subject to following conditions above copyright notice and permission notice shall be included in copies or substantial portions of software software is provided as is without warranty of kind express or implied including but not limited to warranties of merchantability fitness for particular purpose and noninfringement in event shall authors or copyright holders be liable for claim damages or other liability whether in action of contract tort or otherwise arising from out of or in connection with software or use or other dealings in software,,no
on windows store application as empty if default option is selected or if application name is empty,if default application selected property get value,no
creates list of files leaf nodes in tree structure have been selected,private list path file node wrapper node,no
css server plus,add row material design icon server plus,yes
method returns enum constant value,public string get constant,yes
copies doi url to clipboard,public class copy doi url action extends simple command,no
update type label,typed bib entry typed entry new typed bib entry entry database context get mode,no
update key list to match new sorting,for int entries length j++,no
runs given task and returns future representing task, future execute background task task,yes
alt on windows,link,no
runs cleanup on entry and records change,private void do cleanup cleanup preset preset bib entry entry named compound ce,no
action can be invoked without open database so we have to check if we have one before trying to invoke methods to execute changes in preferences,,no
set up list of external file types either from default values or from values recorded in preferences,private void update external file types,no
notifies tab it got focus and should display given entry,public void notify about focus bib entry entry,no
handled by fx in text input control paste,break,no
file does not exist so we ca not move it,dialog service show error dialog and wait localization lang file not found localization lang could not find file linked file get link,yes
opens edit group dialog and changes given group to edited one,public void edit group group node view model old group,no
we ca not watch files directly so monitor parent directory for updates,path directory file to absolute path get parent,no
extract list of bibtex keys from reference mark name,public list string parse ref mark name string name,no
leave expansion state of tree item as it is,this dragged item set expanded this dragged item is expanded,no
display link to expand text,if this get children contains more link,no
start looking at changes,bib database diff differences bib database diff compare reference database database on disk,no
change root group even though it will be all entries anyway,root set group changed groups get group,no
when mime type is included array length should be,mime type val,no
loop through available databases,for bib database loop database databases,yes
replace entries by merged entry,entries add diag get merged entry,no
if value null and then call null field has been omitted as updatefield also handles value null,list field change changes special fields utils update field special field value be null field if value is the same globals prefs is keyword sync enabled globals prefs get keyword delimiter,no
storing backup of whole subtree is not required when children are kept, subtree backup edit type undoable add or remove group remove node keep children edited node get node,no
inserts citation into html body and copies it to clipboard,protected static clipboard content process html list string citations,no
only one linked file open directly,linked file view model linked file view model new linked file view model linked files get entry get entry database globals task executor dialog service globals prefs get xmp preferences globals prefs get file preferences external file types,no
if not start gui,new jab ref gui main stage argument processor get parser results argument processor is blank,yes
empty,,yes
after adding databases go through and see if post open actions need to be done for instance checking if we found new entry types can be imported or checking if database contents should be modified due to new features in version of jab ref note that we have to check whether does not go over get base panel count is because import to open might have been used adds to loaded databases but not to get base panel count,,no
new zip file chooser,public zip file chooser file system zip file throws io exception,yes
expand node and children on drag over,drag expansion handler expand group row get tree item,yes
todo merge with import,factory create menu item standard actions merge database new old database command wrapper actions merge database state manager,no
css code equal,find duplicates material design icon code equal,yes
find entries in clipboard,list bib entry entries to add globals clipboard manager extract data,yes
access child section text content interface and insert it into document, text content child section uno runtime query interface text content class child named,no
set visibility of progress bar in right end of status line at bottom of frame,public void set progress bar visible final boolean visible,no
converts path relative to base path into class name,private static string path to class string base path path path,no
following is necesary to initiate drag and drop in javafx although we do not need contents it does not work without,clipboard content content new clipboard content,no
mask text,boolean mask text text input control instanceof password field,no
use correct viewer even if pdf and ps are mixed up,string split file get get file name to string split \\,no
interface defines potential actions may need to be taken after opening bib file into jab ref can for instance be file upgrade actions should be offered due to new features in jab ref and may depend on jab ref version file was last written by interface is introduced in attempt to add such functionality in flexible manner,public interface gui post open action,no
warning before overwriting is only relevant if overwriting can happen,warn before overwriting set disable dont overwrite is selected,no
todo remove copy as soon as one included in ai is compatible with log4j,public final class application insights log event extends application insights event,no
insert connector, set insert imp loader activate com sun star comp connections connector null null null,yes
as there is concept like empty node icon we return simply other icon,return jab ref icons group intersection get graphic node,no
add bib databases databases to frame,boolean first false,no
is simple implementation of generic suggestion provider callback complexity of suggestion generation is where is number of possible suggestions,public abstract class suggestion provider implements callback suggestion request collection,no
returns newer version excluding non stable versions except if installed one is unstable too if newer version was found then empty optional is returned,private optional version get new version throws io exception,no
prints connection problem to status bar and shows dialog if it was executed manually,private void show connection error exception exception boolean manual execution,no
css file powerpoint,file powerpoint material design icon file powerpoint,yes
detect google search url,private static final string google search exp ^https?: ?:www\\ ?google\\ \\ +? url,yes
update keywords,keywords remove all keywords to remove,yes
css auto fix,auto group material design icon auto fix,yes
bootstraps initial component context from native uno installation see also code cppuhelper default bootstrap initial component context code,public static final component context default bootstrap initial component context string ini file map string string bootstrap parameters throws exception,no
css twitter,twitter material design icon twitter,yes
drag and drop support,row set on drag detected event,no
file on disk has changed thus look for notable changes and notify listeners in case there are such changes,change scanner scanner new change scanner database reference file,no
append given value to given field for entries in collection method does not update undo manager but returns relevant compound edit should be registered by caller,private static undoable edit mass append field collection bib entry entries field field string text to append,no
we have to use reflection to get associated label,try,no
if so mark base changed prevent undo button from removing change marking,if changed,no
passed file we take first one should be focused,string focused file bib databases stream,no
decides if content stored in given dragboard can be droped on given target row currently following sources are allowed group will be added as subgroup on drop entries if group implements @link group entry changer will be assigned to group on drop,public boolean acceptable drop dragboard dragboard,no
string was removed or renamed locally we guess that it was removed,bibtex string bs new bibtex string label disk,no
returns consent dialog used to ask permission to send data to mr lib,private scroll pane get privacy dialog bib entry entry,no
left text pane,if left string is present,no
initializes components layout data structure and actions in dialog,private void initialize,no
add type change menu,context menu type menu new change entry type menu get change entry type popup menu entry database context undo manager,no
property is only needed to get proper ide support in fxml files validation parameter passed to icon is indeed of type @link icon theme jab ref icons,private object property icon theme jab ref icons glyph,no
cloud upload,connect db material design icon cloud upload,yes
removal of node and of children,public static final int remove node and children,yes
worker checks if there is new version of jab ref available if there is it will display dialog to user offering him multiple options to proceed see changelog go to download page ignore version and remind later if versions check is executed manually and is latest version it will also display dialog to inform user,public class version worker,no
if crossref entry is not already in database,if result database get entry by key crossref is present,yes
insert it at current position,rebuild bib text section all bases style,no
especially for track execute when action run same function but from different source,public jab ref action action action command command key binding repository key binding repository sources source,no
action for save and save as operations called from base panel class is also used for save operations when closing database or quitting applications save operation is loaded off of gui thread using background task callers can query whether operation was canceled or whether it was successful,public class save database action,no
default menu contains functions for changing case of text and doing several conversions,public static supplier list menu item get default menu final text input control text input,no
set headings,for int i++,yes
method should be called after storing preferences to collect properties require restart of jab ref to load,list string get restart warnings,no
creates new auto completion binding between given text input control and given suggestion provider,private auto completion text input binding final text input control text input control,yes
we accept kinds of dates not just in format specified,return date parse string map date::to temporal accessor or else null,no
whole method is part of background task when autodecting instances so we need to show dialog in fx thread,optional document title view model selected document dialog service show choice dialog and wait localization lang select document localization lang found documents localization lang use selected document view model,no
taken from,private static buffered image resize buffered image img int new width int new height,no
we always want that first item is selected after change also automatically selects first file on initial load,file choice items property add listener,no
function to get command to be executed for pushing keys to be cited,@suppress warnings unused,no
for reason graphic is not set correctly by @link action utils class so we have to fix by hand,private static void set graphic menu item node action action,no
entry type or bibtex key will never be resolved,if internal field type header equals field or internal field obsolete type header equals field,no
removal of single node children if are kept,public static final int remove node keep children,yes
