comment,code,non-information
 Copies given list of @link LogEvent}s to clipboard,public void copyLog(List<LogEventViewModel> messages) {,no
 entries keys,"JabRefGUI.getMainFrame().getDialogService().notify(Localization.lang(""Copied"") + "" '"" + JabRefDialogService.shortenDialogMessage(keyAndLink) + ""'."");",no
 Add radio buttons if two entries not identical fields,if (identicalFields.contains(field)) {,no
 Delivers possible completions as list of @link BibEntry based on cite key,public class BibEntrySuggestionProvider extends SuggestionProvider<BibEntry> implements AutoCompleteSuggestionProvider<BibEntry> {,no
 css eye,"READ_STATUS(MaterialDesignIcon.EYE),",no
 Method to add new abbreviation to abbreviations list property It also sets currentAbbreviation property to new abbreviation,"public void addAbbreviation(String name, String abbreviation) {",no
 Class for handling general actions cut copy and paste focused component kept track of by Globals.focusListener and we call action stored under relevant name in action map,private class EditAction extends SimpleCommand {,no
 Returns new ObservableValue holds value held by ObservableValue or other when ObservableValue empty,public ObjectBinding<T> orElse(T other) {,no
 command only executable if database open Deprecated use instead,@Deprecated,no
 Define focused tab,if (pr.getFile().filter(path -> path.getAbsolutePath().equals(focusedFile)).isPresent()) {,no
 single tab displayed in EntryEditor holding several FieldEditors,abstract class FieldsEditorTab extends EntryEditorTab {,no
 poll with timeout in case library not analyzed completely but contains more duplicates,"dups = this.duplicates.poll(100, TimeUnit.MILLISECONDS);",no
 Clears current log,public void clearLog() {,yes
 Sets new key bind to objects key binding object if given key event valid combination of keys,public boolean setNewBinding(KeyEvent evt) {,no
 Revert change,base.setPreamble(oldValue);,yes
 Fade new page in for smoother transition,"FadeTransition fadeIn = new FadeTransition(Duration.millis(100), imageView);",no
 css rss,"BLOG(MaterialDesignIcon.RSS),",no
 search describer for given search query,public static SearchDescriber getSearchDescriberFor(SearchQuery searchQuery) {,yes
 actual operation on Bibtex entry based on settings specified in same dialog Returns number of occurrences replaced,"private int replaceItem(BibEntry entry, NamedCompound compound) {",no
 should opened in browser,field = StandardField.URL;,no
 Returns HashMap containing key bindings,"public SortedMap<KeyBinding, String> getKeyBindings() {",yes
 Add menu for fetching bibliographic information,ContextMenu fetcherMenu = new ContextMenu();,no
 ctrl on win,"LOGGER.debug(""Mode Copy"");",no
 Adds specified node as child of current root group contained in < b > newGroups < /b > must not of type AllEntriesGroup since tree exactly one AllEntriesGroup root < b > newGroups < /b > inserted directly i.e. they not deepCopy()'d,"private static void addGroups(GroupTreeNode newGroups, CompoundEdit ce) {",no
 Adds given entries to node 's group,public List<FieldChange> addEntriesToGroup(List<BibEntry> entries) {,yes
 No we canceled or there panel to database from highly unlikely,return false;,no
 default,return GroupHierarchyType.INDEPENDENT;,yes
 Bug report body,"String issueBody = systemInfo + ""\n\n"" + howToReproduce + ""\n\n"" + ""Paste your log details here."";",yes
 nothing by default,},yes
 Text after citation,if (end < line.length()) {,no
 only instance of class,private static ExternalFileTypes singleton;,yes
 Placeholder class for custom generic type safe dragboard to used in drag and drop not depend on serialization n't use class directly Use instance provided in @link GUIGlobals#localDragboard,public class CustomLocalDragboard {,no
 Search and import unknown references from associated BIB files,public void importButtonClicked() {,no
 wizard dialog for generating new sub database from existing TeX AUX file,public class FromAuxDialog extends BaseDialog<Void> {,no
 Shows dialog with warnings from import or open of file,"public static void showParserResultWarningDialog(final ParserResult parserResult, final JabRefFrame jabRefFrame,",no
 permutation array,int[] permutation = new int[to - from];,no
 Set pseudo - classes to indicate if row root or sub - item > 1 deep,"PseudoClass rootPseudoClass = PseudoClass.getPseudoClass(""root"");",no
 n't report error since getting suffix non - critical operation and error will triggered and reported elsewhere,},no
 Selected entries,entries = frame.getCurrentBasePanel().getSelectedEntries();,yes
 For fields in joint add row and possibly radio buttons,int row = 2;,no
 Puts List of PreviewLayout in map previous content cleared,public void putPreviewLayouts(List<PreviewLayout> previewLayouts) {,no
 Remove entry from import inspection dialog,entries.remove(entry);,yes
 Second check if duplicate of entry in import,other = findInternalDuplicate(entry);,no
 TODO Remove old entry Or add it to list of entries to deleted We only delete it after Ok clicked entriesToDelete.add(other.get,} else if (result == DuplicateResolverDialog.DuplicateResolverResult.KEEP_RIGHT) {,no
 Taken from https://stackoverflow.com/questions/23326562/apache-pdfbox-convert-pdf-to-images,"public Image render(int width, int height) {",no
 Check if looks like remote link,if (REMOTE_LINK_PATTERN.matcher(link).matches()) {,yes
 list of exporters and sort before adding to file dialog,List<Exporter> exporters = Globals.exportFactory.getExporters().stream(),yes
 Save properties dependent on ID makes it possible to restore them,new SharedDatabasePreferences(context.getDatabase().generateSharedDatabaseID()),no
 Initialize protected terms loader,Globals.protectedTermsLoader = new ProtectedTermsLoader(Globals.prefs.getProtectedTermsPreferences());,yes
 Returns MenuItemContainer node associated with menu item can contain 1 label node of type Label for displaying menu item text 2 right node of type Label for displaying accelerator text or arrow if it Menu 3 graphic node for displaying menu item icon and 4 left node for displaying either radio button or check box basically rewritten impl_styleableGetNode should not used since it marked as deprecated,private static Label getAssociatedNode(MenuItem menuItem) {,no
 setContentType(CONTENT_TYPE StyleSheet sheet = HTMLEditorKit getEditorKit()).getStyleSheet sheet.addRule(BODY_STYLE sheet.addRule(ADDITION_STYLE sheet.addRule(REMOVAL_STYLE sheet.addRule(CHANGE_STYLE setEditable(false,},yes
 Sets name and abbreviation of @code currentAbbreviation property to values of @code abbreviationsName and @code abbreviationsAbbreviation properties,"private void setCurrentAbbreviationNameAndAbbreviationIfValid(String name, String abbreviation) {",no
 Finally go through citation markers and update referring to entries in current list,int maxAuthorsFirst = style.getIntCitProperty(OOBibStyle.MAX_AUTHORS_FIRST);,no
 describe advanced search expression,"textFlow.getChildren().add(TooltipTextUtil.createText(String.format(""%s "", Localization.lang(""This search contains entries in which"")), TooltipTextUtil.TextType.NORMAL));",no
 if we going to override cite keys warn user about it,} else if (entries.parallelStream().anyMatch(BibEntry::hasCiteKey)) {,no
 method called after new database added to GUI if isActionNecessary method returned true Note if several such methods need to called sequentially it important that implementations of method not return until operation finished,"void performAction(BasePanel panel, ParserResult pr);",no
 Searches recursively files in specified directory < br > < br > files matched by given @link UnlinkedPDFFileFilter taken into resulting tree < br > < br > result will tree structure of nodes of type @link CheckBoxTreeItem < br > < br > user objects attached to nodes @link FileNodeWrapper wraps @link File}-Object < br > < br > For ensuring capability to cancel work of recursive method first position in integer array ' state must set to 1 to keep recursion running When states value changes method will resolve recursion and return what it saved so far,"private CheckBoxTreeItem<FileNodeWrapper> searchDirectory(File directory, UnlinkedPDFFileFilter ff) {",no
 method attaches linked file from URL if not already linked to entry using key and value pair from findFullTexts map and then downloads file into given targetDirectory,"private void addLinkedFileFromURL(URL url, BibEntry entry, Path targetDirectory) {",no
 init paste handler for URLEditor to format pasted url link in textArea,textArea.setPasteActionHandler(() -> textArea.setText(new CleanupURLFormatter().format(new TrimWhitespaceFormatter().format(textArea.getText()))));,no
 Create new SuggestionProviderString,"public SuggestionProviderString(Callback<T, String> stringConverter) {",yes
 Set new sections name to Child_Section,xChildNamed.setName(OOBibBase.BIB_SECTION_NAME);,yes
 Ok done Then try to gather in we found Since we might found one or more bibtex results it best to gather them in BibDatabase,ParserResult bibtexResult = mergeImportResults(imports);,no
 TODO can we find out whether save actually done or not,},no
 method shall used to add new journal abbreviation file to set of journal abbreviation files It basically just calls @link # openFile(Path method,public void addNewFile() {,no
 UndoableAddOrRemoveGroup undo = new UndoableAddOrRemoveGroup(groupsRoot new GroupTreeNodeViewModel(newGroups UndoableAddOrRemoveGroup ADD_NODE ce.addEdit(undo,},yes
 new version could found only respect ignored version on automated version checks,if (!newerVersion.isPresent() || (newerVersion.get().equals(toBeIgnored) && !manualExecution)) {,no
 Compare deleted entry in memory with one in tmpfile entry could removed in memory,"double matchWithTmp = DuplicateCheck.compareEntriesStrictly(memEntry, tmpEntry);",no
 retrieve bookmark by name,if (!xNamedBookmarks.hasByName(name)) {,yes
 Run validation checks,if (!validSettings()) {,yes
 happy with first found BibEntry and move on to next key,break;,yes
 css open in app,CONNECT_OPEN_OFFICE(MaterialDesignIcon.OPEN_IN_APP),yes
 Fills current values to text fields,public void setValues(AbstractBibtexKeyPattern keyPattern) {,no
 Create default suggestion provider based on toString method of generic objects,public static <T> SuggestionProvider<T> create(Collection<T> possibleSuggestions) {,no
 lines above work also if dir not exist at all NULL accepted by filechooser as inital path,,no
 css paperclip,ATTACH_FILE(MaterialDesignIcon.PAPERCLIP),yes
 Converts citations into RTF format,protected static ClipboardContent processRtf(List<String> citations) {,no
 PushToApplication,final PushToApplicationAction pushToApplicationAction = pushToApplicationsManager.getPushToApplicationAction();,yes
 Returns default context menu items except undo / redo,public static List<MenuItem> getDefaultContextMenuItems(TextInputControl textInputControl) {,no
 use preferences value if DB open,mode = Globals.prefs.getDefaultBibDatabaseMode();,no
 We to use supplier for localized text so that language changes correctly reflected,"SearchDisplayMode(Supplier<String> displayName, Supplier<String> toolTipText) {",no
 TODO switch Icon color searchIcon.setIcon(IconTheme JabRefIcon ADVANCED_SEARCH.getIcon,} else {,no
 We overwritten marker for start of reference list We need to add it again,cursor.collapseToEnd();,no
 Create and run cleaner,"CleanupWorker cleaner = new CleanupWorker(panel.getBibDatabaseContext(), preferences.getCleanupPreferences(",yes
 If we found it remove it from type list,if (toRemove != null) {,yes
 Work around for different input methods https://github.com/FXMisc/RichTextFX/issues/146,private class InputMethodRequestsObject implements InputMethodRequests {,no
 class represents change in field value relevant information BibEntry field name old and new value Old / new values can null,public class UndoablePreambleChange extends AbstractUndoableJabRefEdit {,no
 Parse temporary file,ImportFormatPreferences importFormatPreferences = Globals.prefs.getImportFormatPreferences();,no
 Show progress indicator,ProgressIndicator progress = new ProgressIndicator();,yes
 Fail on unsupported Java versions,ensureCorrectJavaVersion();,no
 string associated with file type 's icon,public String getIconName() {,no
 things to appended to opened tab should done after opening tabs add them to list,toOpenTab.add(pr);,no
 setTitle(FRAME_TITLE,return;,no
 we not trim value at assignment to enable users to spaces at beginning and at end of pattern,if (!text.trim().isEmpty()) {,no
 jni convenience easier to iterate over array than calling Hashtable,String pairs[] = null;,no
 create menu items one for case changer,List<Formatter> caseChangers = new ArrayList<>();,no
 We import files and collect results,List<ImportFormatReader.UnknownFormatImport> imports = new ArrayList<>();,no
 Constructs ListCell based on view model of row and bunch of specified converter methods,"public class ViewModelListCellFactory<T> implements Callback<ListView<T>, ListCell<T>> {",no
 TODO Store undo if undo.isEmpty groupSelector.concludeAssignment(UndoableChangeEntriesOfGroup.getUndoableEdit(target undo target.getNode assignedEntries,},no
 TODO means duplicate string name exists so it not very exceptional situation We should maybe give warning,},no
 Dialog shown when closing of application needs to wait for save operation to finish,public class WaitForSaveFinishedDialog {,no
 TODO Find better way to update preview,basePanel.closeBottomPane();,no
 We alone so we start server,"Globals.REMOTE_LISTENER.openAndStart(new JabRefMessageHandler(), remotePreferences.getPort());",no
 Keep track of changes made to columns like reordering or resizing,public class PersistenceVisualStateTable {,no
 encoding of shared database always UTF-8,encodingDisableProperty.setValue(isShared);,no
 replace placeholder if used,"command = command.replace(""%DIR"", absolutePath);",no
 If file ordinary file i.e. not resource part of .jar bundle we watch it for changes and turn on live reloading,"if (!cssUri.toString().contains(""jar"")) {",no
 Shift on Windows or modifier,"LOGGER.debug(""Mode LINK"");",no
 Show tooltips,if (command instanceof SimpleCommand) {,no
 class provides editable text field used as table cell It handles editing of name column,"public class JournalAbbreviationsNameTableEditingCell extends TableCell<AbbreviationViewModel, String> {",no
 return first one we found anyway,return Optional.of(suffix);,no
 regex correct otherwise OK would disabled therefore I n't catch anything here,if (keywordGroupRegExp.isSelected()) {,no
 Returns int representing selected hierarchical group context,private GroupHierarchyType getContext() {,yes
 TODO warn if assignment undesired side effects modifies field = keywords if WarnAssignmentSideEffects.warnAssignmentSideEffects(mNode.getNode().getGroup mPanel.frame return // user aborted operation,,no
 Bidirectional binding not work so use listeners instead,"flow.estimatedScrollYProperty().addListener((observable, oldValue, newValue) -> scrollY.setValue(newValue));",no
 Main function for building merge entry JPanel,private void initialize() {,no
 prefsTab component displayed in PreferenceDialog It needs to extend from Component,interface PreferencesTab {,no
 actual operation method will not called on event dispatch thread so it should not GUI operations without utilizing invokeLater,"void pushEntries(BibDatabaseContext database, List<BibEntry> entries, String keyString);",no
 create dummy group,try {,no
 Action for launching mass field Functionality Defaults to selected entries or entries if none selected Input field name Either set field or clear field,public class MassSetFieldsAction extends SimpleCommand {,no
 Need to toggle twice to make sure nothing selected,root.setSelected(false);,no
 ctrl on win no modifier on Xubuntu,"LOGGER.debug(""Mode Copy"");",no
 If we supposed to set character format for citations must run test before we delete old citation markers Otherwise if specified character format n't exist we end up deleting markers before process crashes due to missing format with catastrophic consequences for user need to only once,mustTestCharFormat = false; // need to do this only once,no
 center of focused cell,Bounds anchorBounds = row.getBoundsInParent();,no
 Opens new console starting on given file location If command specified in Globals default system console will executed,public static void openConsole(File file) throws IOException {,no
 I think setting root to null not possible,root.setGroup(DefaultGroupsFactory.getAllEntriesGroup());,no
 General info dialog MacAdapter calls method when Quit selected from application menu Cmd Q pressed or Quit selected from Dock function returns boolean indicating if quitting ok or not < p > Non - OSX JabRef calls when choosing Quit from menu < p > SIDE EFFECT tears down JabRef,public boolean quit() {,no
" fits standard found x entries""-message thus hinders searchbar to jump around while searching if frame width too small",currentResults.setPrefWidth(150);,no
 View model for field editor shows various options backed by map,public abstract class MapBasedEditorViewModel<T> extends OptionEditorViewModel<T> {,no
 Hide horizontal scrollbar and always wrap text,setWrapText(true);,no
 Delivers possible completions as list of @link Author}s,public class PersonNameSuggestionProvider extends SuggestionProvider<Author> implements AutoCompleteSuggestionProvider<Author> {,no
 XML Syntax Highlighting for RichTextFX Codearea created by c Carlos Martins github @cemartins License BSD-2-Clause see https://github.com/FXMisc/RichTextFX/blob/master/LICENSE and https://github.com/FXMisc/RichTextFX/blob/master/richtextfx-demos/README.md#xml-editor,public StyleSpans<Collection<String>> computeHighlighting(String text) {,no
 Inserts JabRefPreferences values into Properties of ViewModel,public void setValues() {,no
 Alt on Windows,"LOGGER.debug(""Mode MOVE"");",no
 for column get actual width or if it not exist default value,"Map<String,Double> columnWidths = new HashMap<>();",no
 Opens import inspection dialog to let user decide of given entries to import,"private void addImportedEntries(final BasePanel panel, final List<BibEntry> entries) {",no
 Update journal abbreviation loader,journalAbbreviationLoader.update(abbreviationsPreferences);,yes
 Generate dialog title,String dialogTitle;,yes
 Wrapper around one of actions from @link Action to convert them to controlsfx @link org.controlsfx.control.action Action,class JabRefAction extends org.controlsfx.control.action.Action {,no
 Open File Browser,,no
 Flipped around,resolveStringsAllProperty.setValue(preferences.getBoolean(JabRefPreferences.RESOLVE_STRINGS_ALL_FIELDS));,no
 css file multiple,"FILE_MULTIPLE(MaterialDesignIcon.FILE_MULTIPLE),",yes
 find office executable relative to class 's class loader,"String sOffice = System.getProperty(""os.name"").startsWith(""Windows"") ? ""soffice.exe"" : ""soffice"";",no
 Add entries to open tab,BasePanel panel = getCurrentBasePanel();,no
 css star circle,"RELEVANCE(MaterialDesignIcon.STAR_CIRCLE),",yes
 Set empty background and create proper rendering in background for smoother loading,"background = new Rectangle(getDesiredWidth(), getDesiredHeight());",no
 Function to initialize parameters Currently it expected that commandPathPreferenceKey set to path of application,protected abstract void initParameters();,no
 root of global groups tree,private final GroupTreeNodeViewModel m_groupsRootHandle;,no
 Gets invoked if entry in current database changes,private void onDatabaseChanged(ListChangeListener.Change<? extends BibEntry> change) {,yes
 wait until office started,for (int i = 0;; ++i) {,no
 Check if we supposed to set character format for citations,boolean mustTestCharFormat = style.isFormatCitations();,no
 css arrow up bold,"MOVE_TAB_ARROW(MaterialDesignIcon.ARROW_UP_BOLD),",yes
 TODO reflective access should removed,"Field privateStringField = TableView.class.getDeclaredField(""contentWidth"");",no
 Creates column for DOIs or URLs @code firstField preferred to shown over secondField,"private TableColumn<BibEntryTableViewModel, Field> createUrlOrDoiColumn(JabRefIcon icon, Field firstField, Field secondField) {",no
 comparator to order suggestions,protected abstract Comparator<T> getComparator();,no
 Check if there empty keys,boolean emptyKeys = false;,yes
 Repeat for individual file dir reuse text and dir ' vars,text = viewModel.userSpecificFileDirectoryProperty().getValue();,no
 alt on win,"LOGGER.debug(""Node LINK"");",no
 Represents view model for page in document viewer,public abstract class DocumentPageViewModel {,yes
 Menu to show up on right click in text field for converting text formats,class ConversionMenu extends Menu {,no
 ugly but we proper update mechanism in place to propagate changes so redraw everything,refresh();,no
" TODO Print error message Localization.lang(""PDF not exist",} else {,no
 Prints parsing statistics,public String getInformation(boolean includeMissingEntries) {,no
 Calls AbbreviationsFileViewModel#writeOrCreate method for file in journalFiles property will overwrite existing files with content of abbreviations property of AbbriviationsFile Non existing files will created,public void saveJournalAbbreviationFiles() {,no
 Sets @link Consumer invoked after task successfully finished consumer always runs on JavaFX thread,public BackgroundTask<V> onSuccess(Consumer<V> onSuccess) {,no
 Copyright c 2014 2016 ControlsFX rights reserved Redistribution and use in source and binary forms with or without modification permitted provided that following conditions met Redistributions of source code must retain above copyright notice list of conditions and following disclaimer Redistributions in binary form must reproduce above copyright notice list of conditions and following disclaimer in documentation and/or other materials provided with distribution Neither name of ControlsFX associated website nor names of contributors may used to endorse or promote products derived from software without specific prior written permission SOFTWARE IS PROVIDED BY COPYRIGHT HOLDERS AND CONTRIBUTORS AS IS AND EXPRESS OR IMPLIED WARRANTIES INCLUDING BUT NOT LIMITED TO IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR PARTICULAR PURPOSE ARE DISCLAIMED IN EVENT SHALL CONTROLSFX BE LIABLE FOR DIRECT INDIRECT INCIDENTAL SPECIAL EXEMPLARY OR CONSEQUENTIAL DAMAGES INCLUDING BUT NOT LIMITED TO PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES LOSS OF USE DATA OR PROFITS OR BUSINESS INTERRUPTION HOWEVER CAUSED AND ON THEORY OF LIABILITY WHETHER IN CONTRACT STRICT LIABILITY OR TORT INCLUDING NEGLIGENCE OR OTHERWISE ARISING IN WAY OUT OF USE OF SOFTWARE EVEN IF ADVISED OF POSSIBILITY OF SUCH DAMAGE,package org.jabref.gui.autocompleter;,no
 Extract destination URL,try {,no
 Updates view to reflect changes to visible components,private void updateView() {,yes
 class represents change in field value relevant information BibEntry field name old and new value Old / new values can null,public class UndoableFieldChange extends AbstractUndoableJabRefEdit {,no
 Abstract class for pushing entries into different editors,public abstract class AbstractPushToApplication implements PushToApplication {,no
 put warning into as exception text > it will displayed to user,,no
 wraps old Swing commands so that they fit into new infrastructure In long term class should removed,@Deprecated,no
 default context menu with specific menu item to cleanup URL,public static Supplier<List<MenuItem>> getCleanupURLMenu(TextArea textArea) {,no
 icon chosen based on field name in cell so map fields to names,column.setCellValueFactory(cellData -> EasyBind.monadic(cellData.getValue().getField(firstField)).map(x -> firstField).orElse(EasyBind.monadic(cellData.getValue().getField(secondField)).map(x -> secondField)));,no
 Execute command,try {,no
 Ignored,return Collections.emptyList();,no
 Returns true if there external file type registered for extension,public boolean isExternalFileTypeByExt(String extension) {,no
 unknown can not un / abbreviate anything,return false;,yes
 vim set shiftwidth=4 softtabstop=4 expandtab,,no
 Redo change,try {,no
 We need to tab header following ugly workaround,Node tabHeaderArea = ((TabPaneSkin) this.tabbedPane.getSkin()),no
 reset fields,for (TextField field : textFields.values()) {,yes
 Similar to @link org.fxmisc.easybind.monadic MonadicObservableValue,public class OptionalObjectProperty<T> extends SimpleObjectProperty<Optional<T>> {,no
,"public static void showContextMenu(TextField textField, ContextMenu contextMenu, ContextMenuEvent e) {",no
 css clipboard arrow left,EXPORT_TO_CLIPBOARD(MaterialDesignIcon.CLIPBOARD_ARROW_LEFT),yes
 TODO Replace by http://docs.oracle.com/javase/7/docs/api/java/awt/Desktop.html http://stackoverflow.com/questions/18004150/desktop-api-is-not-supported-on-the-current-platform,public class JabRefDesktop {,no
 Executes callable task provides return value after calculation done @param command task to execute Future object provides returning value,public <T> Future<T> execute(Callable<T> command) {,yes
 Need to run on JavaFX thread,"JabRefGUI.getMainFrame().addParserResult(pr, focusPanel)",no
 set original filename again,tabbedPane.getTabs().get(i).setText(getBasePanelAt(i).getTabTitle());,no
 If required check that entries BibTeX keys defined,if (application.requiresBibtexKeys()) {,no
 Check if value returned by getColumnValue same as simple check of entry 's field(s would give reasons for different combinations may also happen entry crossref where field content obtained from field string in it getColumnValue resolves There alias fields For example if entry date field but year field BibEntry#getResolvedFieldOrAlias(String BibDatabase will return year value from date field when queried for year,public boolean isResolved(BibEntry entry) {,no
 imlement default,},no
 Use default key bindings,for (KeyBinding keyBinding : KeyBinding.values()) {,yes
 Store shown columns and width in preferences,private void updateColumnPreferences() {,no
 TODO Add undo final UndoableAddOrRemoveGroup undo = new UndoableAddOrRemoveGroup(groupsRoot node UndoableAddOrRemoveGroup REMOVE_NODE_KEEP_CHILDREN panel.getUndoManager().addEdit(undo,GroupTreeNode groupNode = group.getGroupNode();,no
 Read saved file paths and read abbreviations,public void createFileObjects() {,no
 On Linux Java FX fonts look blurry per default can improved by using non - default rendering setting See https://github.com/woky/javafx-hates-linux,if (Globals.prefs.getBoolean(JabRefPreferences.FX_FONT_RENDERING_TWEAK)) {,no
 Runs specified Runnable on JavaFX application thread and waits for completion,public static void runAndWaitInJavaFXThread(Runnable action) {,yes
 JabRef MainClass,public class JabRefMain extends Application {,yes
 Bootstraps component context from UNO installation,"public static final XComponentContext bootstrap(String[] argArray, URLClassLoader loader) throws BootstrapException {",no
" if Globals.prefs.isKeywordSyncEnabled return final BibEntry entry = event.getBibEntry NamedCompount code similar to SpecialFieldUpdateListener NamedCompound nc = new NamedCompound(Localization.lang(""Synchronized special fields based on keywords List < FieldChange > changes = SpecialFieldsUtils.syncSpecialFieldsFromKeywords(entry Globals.prefs.getKeywordDelimiter for FieldChange change changes nc.addEdit(new UndoableFieldChange(change n't insert compound into undoManager it would added before component undoes insertion of entry and creates heavy problems prohibits undo deleting multiple entries",},no
 target folder,Optional<Path> fileDir = databaseContext.getFirstExistingFileDir(filePreferences);,no
 Ctrl on Windows no modifier on Xubuntu,"LOGGER.debug(""Mode COPY"");",no
 default command,"String cmd = ""xdg-open "" + filePath.toAbsolutePath().getParent().toString();",no
 Reloads JabRefPreferences into UI,private void updateAfterPreferenceChanges() {,no
 We define two file type objects as equal if name extension openWith and iconName equal,@Override,no
 Create buttons,"ButtonType replaceEntries = new ButtonType(Localization.lang(""Merge entries""), ButtonBar.ButtonData.OK_DONE);",yes
 Time stamp,,no
 class can used to wrap @see ObservableList inside it When wrapped Listener listening for updates to wrapped ObservableList for example because of binding to it ensured to notified on JavaFX Application Thread It should used to implement bindings where updates come in from background thread but should reflected in UI where it necessary that changes to UI performed on JavaFX Application thread,public class UiThreadObservableList<E> implements ObservableList<E> {,no
 Executes collection of callable tasks and returns List of resulting Future objects after calculation done @param tasks tasks to execute @return List of Future objects provide returning values,public <T> List<Future<T>> executeAll(Collection<Callable<T>> tasks) {,yes
 will set @code currentFile property to @link AbbreviationsFileViewModel object added to @code journalFiles list property lastly If there files in list property methode will nothing as @code currentFile property already @code null,public void selectLastJournalFile() {,no
 Method to delete abbreviation set in currentAbbreviation property currentAbbreviationProperty will set to previous or next abbreviation in abbreviations property if applicable Else it will set to @code null if there abbreviations left,public void deleteAbbreviation() {,no
 We need to sort reference marks according to order of appearance,names = sortedReferenceMarks;,no
 Returns wrapper around given list posts changes on JavaFX thread,public static <T> ObservableList<T> forUI(ObservableList<T> list) {,no
 kill remote thread,stopRemoteThread();,yes
 First try xmp import if empty try pdf import otherwise create empty entry,if (!xmpEntriesInFile.isEmpty()) {,no
 Revert change,base.removeString(string.getId());,no
 Go through unchanged types Remove them from ones should stored and from list of defaults since we n't need to mention in prefs,for (ExternalFileType type : unchanged) {,no
 Checks if tabs valid ToDo After conversion of tabs use mvvmfx validator ToDo should observable for binding of OK button in View,,no
 Next add visible tabs if not already present at right position,for (int i = 0; i < visibleTabs.size(); i++) {,no
 update tab titles,updateAllTabTitles();,yes
 Helper class to create and style controls according to @link Action,public class ActionFactory {,no
 Class for fetching and merging bibliographic information,public class FetchAndMergeEntry {,yes
 paranoia ensure that there never two instances of AllEntriesGroup,if (newGroups.getGroup() instanceof AllEntriesGroup) {,no
 Create button triggers search,"Button search = new Button(Localization.lang(""Search""));",yes
 Activate context menu if user presses context menu key,"tableView.addEventHandler(KeyEvent.KEY_RELEASED, event -> {",no
,public static <V> V runInJavaFXThread(Callable<V> callable) {,yes
